category,product_url,review,rating
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"Bahan yang halus dan ringan, Bahan polyester berkualitas tinggi, Bahan polyester berkualitas tinggi, Polanya yang bunga-bunga mencuri perhatian, Sempurna untuk acara santai, Desain tanpa punggung menambah sentuhan elegan, Bahan yang lembut dan nyaman. Sangat bagus pokoknya perfect 🥳 datang langsung unboxing dong 😁 Saya puas banget dengan produknya 🤩 Mewah banget pas banget dibadanku. Manis banget 😍",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"Panjang yang bagus, di bawah lutut, Bahan yang lembut dan nyaman, Warna rose soft blue yang unik,",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,bagus dress nya. cuma bahannya agak panas,5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"Polanya yang bunga-bunga mencuri perhatian, Polanya yang bunga-bunga sangat menakjubkan, Bahan yang halus dan ringan,",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,Ukuran:,5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"Alhamdulillah paket datang kemasannya rapih bahannya bagus sesuai gambar mau order lagi jadi langganan buat yg masih ragu disini tokonya amanah ga kecewa bahan adem tebel, buat tokonya sukses selalu buat tokonya dan Abang kurir nya baik",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,ini bagian atasnya lucu deh beda sama rose putih kalo yang rose cream agak ngembang gitu dibagian atas dada😭🙏🏻,4
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"barang nyah udah dateng sesuai sama yang di foto. tokok nya amanah kurir nyah ramah,",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,Bahan:,5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"alhamdulillah bagus banget lucuuu, bahan nya ademm Nyaman dan stylish, Bahan polyester berkualitas tinggi,",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,aaaa bagus banget aku suka ukuran nya pun pas motifnya cantik pokonya mantul dh thanks seller semoga lancar terus 🥰,5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"Desain tanpa punggung menambah sentuhan elegan, Warna rose cream yang indah, Panjang yang mempesona di bawah lutut, packing rapi kurir sdh langganan tks",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"bagusss dress nya..jaitan rapi.tapi agak nerawang dikirim t sihDress yang serbaguna untuk berbagai acara, Bahan yang lembut dan nyaman",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,baju nya bagus banget sesuai sama yang gambar nyaman di pake nya dapet harga 9k gak nyangka bakal sebagus ini thank buat seller nya sukses terus,5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"bagus banget . pengiriman cepat , sesuai pesanan . cocok banget dipakai sehari2 terima ksih seller sukses selalu ya makin laris dan Lazada semakin di depan hehe lazada baik banget kasih promo diskon dan pakai koin dan juga lazreward berguna banget Bahan：bagus halus Ukuran：sesuai Gaya：cantik",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,Bahan:,4
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"paket datang sesuai pesanan trimakasih toko amanah real pic ,kurir juga ramahPolanya yang bunga-bunga mencuri perhatian, Sempurna untuk acara santai,",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"Cocok untuk acara siang dan malam,",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"Bahan yang lembut dan nyaman, Cocok untuk acara siang dan malam, Panjang yang mempesona di bawah lutut,",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"Bahan yang lembut dan nyaman, Cocok untuk acara siang dan malam, Polanya yang bunga-bunga menambah sentuhan feminin, Bahan yang halus dan ringan, Desain mini dress yang seksi, Panjang yang mempesona di bawah lutut, Desain tanpa punggung menambah sentuhan elegan,",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"bagus dooong ..benar2 realpick...Toko nyaPanjang yang bagus, di bawah lutut, amanah..skrg aku mau CO Lg...Polanya yang bunga-bunga menambah sentuhan feminin, Sempurna untuk kencan romantis,",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,bagus banget bajunya beli 2 dapat harga 47rb plus dapat gratis sisir makasihhh seler,5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"Bahan yang lembut dan nyaman, Nyaman dan stylish, Desain mini dress yang seksi, Cocok untuk acara siang dan malam, Warna rose soft blue yang unik, Sempurna untuk kencan romantis, mkasih semuanya bagus, cuma ada satu baju yg terkena kuntung roko, jadi bolong2 gitu, tv GK papa bgus ko",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,Kualitas paten dengan harga sangat terjangkau. Tampilan sangat manis dan modis. Polanya yang bunga-bunga menambah sentuhan feminin.,5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"dasternya bagus banget, dapat di harga 9k an udah dapat daster hihi. bakal repurchase sih💋💋💋",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"warna dan motif sesuai pesanan, bahan sesuai harga ya ,Panjang yang mempesona di bawah lutut,",4
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,sesuai gambar baju pesanannya kain sangat bagus dan longgar dibodi saya,4
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,bagussssssssss baaaaaageeeeeetttttt bahan nya juga lumayan terimakasih banyak 😻😻😻😻😻,5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"sesuai ekspektasi dan worth ith lah harga segituNyaman dan stylish,",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"baju nya bagus , bahan nya oke .. nanti beli lagi .makasi kak ....",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"Nyaman dan stylish, Dress yang serbaguna untuuk berbagai acara ,",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"Polanya yang bunga-bunga sangat menakjubkan,....................... Bahan yang lembut dan nyaman, terimakasih pak kurir........................................",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"paket nya sudah datang...., tokonya insyaallah amanah bahan nya nyaman di pake nya, ga tebal dan ga tipis juga cocok di bb aku yang 67kg pokok nya good lah",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"Panjang yang mempesona di bawah lutut, Nyaman dan stylish, Bahan polyester berkualitas tinggi, Puas sekali dengan bajunya, pas sesuai ekspektasi.. Cantik banget, suka sama desain dan motifnya..",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"dasternya datang sesuai pesanan bagus sekali , dulu udah pernah order ini kedua kalinya order 2 pcs dan barangnya sesuai semua , dapet potongan koin lumayan banyak jadi lebih murah, makasih seler dan lazada",5
Dress,https://www.lazada.co.id/products/pdp-i8187198478-s116252884387.html,"bagus sesuai pesanan dasternya aku suka sekali, dengan potongan koin yang lumayan banyak jadi lebih murah . next order lagi makasih seler dan lazada",5
